"AREA","TAVE","TMAX","TMIN","RF","MWUTM","IW","CHA","CHM","PS","RD","SS","TIME"
"1558","蘇澳",20,"27.7/18","12.4/5","96","9.0/40.0/1","21.6/60.0/20",79,"15827",1013.5,15,125.9,"201303"
"1559","日月潭",17.8,"29.2/23","10.3/7","29.5","9.8/130.0/27","12.9/130.0/27",83,"42947",903.5,9,170.5,"201303"
"1560","臺中",21,"30.0/23","11.6/4","62.7","5.0/350.0/28","11.4/330.0/26",72,"42940",1005.6,14,175.5,"201303"
"1561","臺南",22.5,"31.8/28","13.2/4","5.5","7.9/30.0/2","13.3/50.0/28",71,"42947",1012.5,5,203.7,"201303"
"1562","臺北",19.9,"29.9/18","10.4/4","49.1","8.3/80.0/21","16.7/90.0/20",69,"11871",1015.8,11,117.7,"201303"
"1563","臺東",23.2,"36.3/18","14.6/4","5.5","5.8/200.0/24","15.9/30.0/14",70,"35/18",1014.4,4,122.4,"201303"
"1564","淡水",18.6,"28.0/22","7.5/4","73","7.6/20.0/1","14.9/30.0/1",80,"13271",1014.6,12,113.7,"201303"
"1565","梧棲",19.9,"27.4/1","11.5/3","49.6","14.2/360.0/14","23.0/360.0/2",82,"15189",1012.9,10,175.1,"201303"
"1566","宜蘭",20.1,"29.7/24","9.7/4","35.4","9.3/70.0/20","14.3/80.0/20",78,"12632",1015.8,14,137.9,"201303"
"1567","玉山",1.4,"15.4/9","-0.771428571","77.2","14.9/290.0/1","27.1/290.0/28",67,"43052",642.2,10,168.1,"201303"
"1568","竹子湖",15.6,"25.0/10","4.5/4","85","8.8/20.0/21","23.0/20.0/13",86,"42943",947.1,15,124.8,"201303"
"1569","阿里山",11.3,"19.4/24","3.3/7","455.4","5.9/280.0/6","14.4/290.0/5",91,"26/16",764.2,20,60,"201304"
"1570","鞍部",15.4,"24.2/29","6.4/6","371.5","10.2/360.0/6","20.4/140.0/11",90,"28/26",920.4,20,47.7,"201304"
"1571","板橋",21,"32.4/30","13.4/12","291.2","6.8/250.0/30","13.8/40.0/7",76,"40/26",1011.7,23,66,"201304"
"1572","成功",22.3,"30.2/18","15.3/7","101","8.5/20.0/20","15.4/30.0/21",81,"46/26",1008.2,22,40.7,"201304"
"1573","嘉義",22.5,"32.0/30","14.5/7","161.4","7.7/250.0/30","12.5/270.0/30",82,"54/23",1009,17,89.9,"201304"
"1574","大武",24.2,"34.8/30","16.9/8","72.1","9.3/190.0/16","14.6/10.0/6",75,"35/26",1011.3,12,106.5,"201304"
"1575","東吉島",22.7,"28.4/24","17.8/7","157.6","16.7/20.0/7","23.4/30.0/7",80,"52/26",1007.3,13,87.2,"201304"
"1576","恆春",25,"31.2/25","19.2/7","79.5","10.6/30.0/26","23.2/20.0/26",74,"42/26",1009.6,3,179.5,"201304"
"1577","新竹",20.9,"30.5/30","14.1/3","287.1","6.0/10.0/30","16.5/70.0/10",81,"36/26",1009.3,21,64.3,"201304"
"1578","花蓮",21.5,"29.5/24","15.5/7","126","11.2/50.0/6","19.6/30.0/6",80,"40/26",1010.9,19,63.6,"201304"
"1579","高雄",25.1,"31.0/25","17.2/7","94.5","6.8/340.0/25","14.7/280.0/6",76,"54/25",1011.8,8,130.3,"201304"
"1580","基隆",20.6,"29.9/17","13.5/12","300.4","11.3/10.0/30","16.9/10.0/30",78,"18660",1010.1,22,62.6,"201304"
"1581","金門",18.3,"27.5/29","11.0/7","188.4","8.6/60.0/30","18.7/60.0/2",85,"16254",1010.5,18,83,"201304"
"1582","蘭嶼",21.4,"26.9/25","14.9/7","165","24.6/40.0/10","34.5/50.0/10",89,"65/26",975.3,17,52.1,"201304"
"1583","馬祖",16.3,"26.2/30","10.3/8","120","10.3/210.0/30","19.1/210.0/30",77,"16619",1003.4,16,109.1,"201304"
"1584","澎湖",22.3,"30.0/30","16.8/7","159.6","9.3/20.0/10","18.5/10.0/6",80,"47/26",1011.2,19,84.4,"201304"
"1585","彭佳嶼",20.1,"28.2/30","13.6/7","187","16.8/40.0/30","25.8/300.0/5",81,"15311",1001.8,17,78.9,"201304"
"1586","蘇澳",20.8,"29.4/23","13.8/12","177.8","8.6/50.0/20","20.0/70.0/30",81,"45/26",1010.4,20,70,"201304"
"1587","日月潭",17.9,"27.4/30","11.8/7","324.5","5.9/280.0/3","11.4/260.0/3",93,"61/16",901.3,20,42,"201304"
"1588","臺中",22.2,"31.2/30","14.8/7","258.6","5.5/10.0/6","11.9/30.0/6",79,"17715",1002.5,21,69.5,"201304"
"1589","臺南",23.9,"31.6/20","15.7/7","111.7","10.4/30.0/6","18.8/30.0/6",76,"45/23",1009.4,8,110.4,"201304"
"1590","臺北",21.1,"32.6/30","13.4/12","253","8.1/80.0/3","15.4/70.0/7",74,"50/15",1012.3,21,53.6,"201304"
"1591","臺東",23.4,"31.6/14","16.5/7","46.5","7.2/200.0/30","15.0/30.0/14",76,"48/26",1011.7,16,67.6,"201304"
"1592","淡水",20.6,"31.6/30","12.3/15","259.5","8.0/20.0/30","15.2/30.0/30",81,"44/15",1011,19,64.1,"201304"
"1593","梧棲",21.3,"30.1/30","14.5/7","162","11.3/330.0/3","21.0/30.0/7",82,"42/26",1009.5,18,84.7,"201304"
"1594","宜蘭",20.6,"29.9/18","13.3/12","168.1","8.6/50.0/30","14.0/70.0/30",84,"39/26",1012.6,20,66.8,"201304"
"1595","玉山",2.9,"13.3/16","-0.357142857","484.6","18.0/280.0/5","27.7/270.0/7",88,"32/15",641.2,22,90.2,"201304"
"1596","竹子湖",16.8,"27.6/29","8.1/7","294.4","9.5/20.0/12","18.5/20.0/12",88,"39/26",944.3,20,61.7,"201304"
"1597","阿里山",13.2,"20.6/24","7.9/26","1102.4","5.2/150.0/15","15.6/260.0/19",94,"49/26",764.4,25,61.8,"201305"
"1598","鞍部",20.1,"28.6/29","8.6/1","565.5","8.3/360.0/11","16.8/350.0/11",90,"14671",918.4,17,61.1,"201305"
"1599","板橋",25.8,"35.9/28","13.9/1","351.2","6.7/260.0/20","14.6/240.0/19",74,"42/28",1007.9,18,95.3,"201305"
"1600","成功",25.3,"32.5/27","18.7/2","406","10.3/30.0/1","18.0/10.0/1",86,"17199",1005.1,21,67.5,"201305"
"1601","嘉義",26.6,"34.4/31","19.2/1","376.7","8.8/220.0/22","17.8/230.0/22",80,"53/31",1006.4,14,135.8,"201305"
"1602","大武",26.2,"35.7/29","18.2/2","255.9","7.7/30.0/1","15.1/30.0/1",80,"17807",1008.5,18,132.1,"201305"
"1603","東吉島",25.5,"30.5/31","20.5/3","141.5","15.4/360.0/1","21.0/360.0/1",85,"24108",1004.7,12,167.3,"201305"
"1604","恆春",27.1,"32.8/30","19.9/2","287.5","8.6/30.0/1","17.9/70.0/2",81,"20486",1007.5,15,179.8,"201305"
"1605","新竹",26,"34.6/28","14.3/1","390.9","5.6/60.0/1","14.9/70.0/1",78,"13547",1005.9,16,105.4,"201305"
"1606","花蓮",24.9,"33.5/28","17.9/1","425.7","11.0/40.0/1","18.3/50.0/1",84,"16103",1007.7,24,94.9,"201305"
"1607","高雄",27.6,"32.8/30","21.6/2","351","5.8/340.0/19","13.9/290.0/1",82,"66/28",1009.5,14,173.6,"201305"
"1608","基隆",25,"33.9/28","15.1/1","424.5","9.9/230.0/19","17.5/220.0/19",80,"18994",1006.3,15,84.4,"201305"
"1609","金門",23.4,"29.9/31","14.1/1","297.2","9.1/260.0/19","19.5/90.0/1",88,"15707",1006.4,13,95.9,"201305"
"1610","蘭嶼",23.9,"29.6/30","17.4/1","122.9","25.1/40.0/1","34.8/50.0/1",91,"24532",973.2,16,88.4,"201305"
"1611","馬祖",21.3,"30.8/29","13.0/1","182.3","11.4/210.0/27","21.5/230.0/29",86,"16803",999.3,19,100.2,"201305"
"1612","澎湖",25.7,"31.8/31","20.1/3","243.6","9.6/30.0/1","27.1/200.0/17",83,"19756",1008.3,16,149.5,"201305"
"1613","彭佳嶼",23.5,"30.4/29","16.0/1","363.2","15.1/310.0/11","21.7/30.0/1",89,"18264",998.4,16,105.8,"201305"
"1614","蘇澳",24.7,"31.7/28","15.1/1","257.1","7.6/150.0/15","15.4/360.0/1",84,"16469",1006.9,23,104.2,"201305"
"1615","日月潭",20.8,"30.4/31","16.0/3","738","6.3/160.0/15","18.0/250.0/21",92,"59/30",900.1,25,72.4,"201305"
"1616","臺中",26.4,"34.1/31","19.1/1","356.4","4.8/170.0/22","12.0/180.0/22",75,"48/30",999.8,18,111.1,"201305"
"1617","臺南",27.3,"33.4/31","21.5/3","286","9.4/190.0/22","20.7/200.0/22",79,"57/27",1007,14,135.9,"201305"
"1618","臺北",26,"36.1/30","14.4/1","338.4","7.0/80.0/1","14.6/80.0/1",72,"48/30",1008.5,16,77.4,"201305"
"1619","臺東",26.4,"33.4/27","18.7/2","321.9","5.4/40.0/1","13.2/20.0/1",81,"17564",1008.5,18,109.1,"201305"
"1620","淡水",25.2,"33.9/28","14.5/1","456","6.6/150.0/8","13.6/140.0/4",80,"17930",1007.2,11,82.1,"201305"
"1621","梧棲",25.9,"32.9/27","16.9/1","273.6","10.2/360.0/4","19.7/10.0/1",79,"18295",1006.5,14,143.7,"201305"
"1622","新屋",0,"/","/","0","//","//",0,"/",0,0,0,"201305"
"1623","宜蘭",24.5,"32.4/29","14.4/1","230.5","7.7/50.0/1","11.8/60.0/1",87,"19025",1008.9,18,81.8,"201305"
"1624","玉山",5.3,"14.5/25","0.6/2","838.5","14.3/290.0/24","25.8/230.0/1",88,"18/26",642.4,26,76.3,"201305"
"1625","竹子湖",21.6,"30.6/30","9.4/1","459.4","10.1/20.0/1","19.0/10.0/1",87,"15036",941.9,15,79.4,"201305"
"1626","阿里山",14.9,"22.2/30","9.9/7","187.1","4.3/160.0/12","12.7/270.0/24",86,"37/29",763.8,17,122.3,"201306"
"1627","鞍部",23,"29.2/29","18.1/6","81","9.2/190.0/14","19.1/200.0/14",87,"51/29",916.5,10,104.4,"201306"
"1628","板橋",29,"36.4/29","23.1/6","132.5","6.5/250.0/27","15.3/270.0/27",71,"16285",1005,13,149.1,"201306"
"1629","成功",27.7,"33.7/9","23.2/6","275.8","6.9/220.0/23","18.8/220.0/24",83,"59/28",1002.2,10,171.4,"201306"
"1630","嘉義",28.8,"35.3/23","23.4/7","81.7","11.5/240.0/24","21.0/210.0/4",74,"50/23",1004,9,179.5,"201306"
"1631","大武",28.5,"37.4/27","23.3/19","480.9","6.7/30.0/13","13.6/120.0/21",75,"14824",1005.7,10,224.1,"201306"
"1632","東吉島",27.7,"32.6/7","24.2/24","141","15.4/150.0/22","22.6/140.0/22",85,"70/21",1002.2,6,204.7,"201306"
"1633","恆春",29.1,"34.3/6","23.9/22","183.5","7.5/20.0/13","14.9/250.0/27",78,"55/20",1004.8,11,220.9,"201306"
"1634","新竹",28.9,"34.7/24","23.2/5","114.9","6.1/270.0/27","16.8/270.0/24",74,"49/24",1003.2,9,190.7,"201306"
"1635","花蓮",27.8,"33.8/9","23.5/6","175.5","10.1/170.0/22","16.5/160.0/21",77,"56/24",1004.5,12,179.3,"201306"
"1636","高雄",29.8,"34.5/30","25.5/23","87","9.0/170.0/21","16.8/160.0/21",77,"57/22",1006.9,9,238.6,"201306"
"1637","基隆",28.2,"36.2/27","23.1/11","128.5","8.1/200.0/28","15.3/250.0/28",77,"17380",1003.1,13,151,"201306"
"1638","金門",26.7,"33.2/21","21.8/13","151.4","8.0/230.0/25","14.0/80.0/2",91,"73/21",1003.3,13,163,"201306"
"1639","蘭嶼",26.3,"30.2/9","22.6/15","68.8","21.0/270.0/28","29.8/270.0/27",88,"57/19",970.9,12,182.1,"201306"
"1640","馬祖",25.2,"31.8/30","18.5/4","168.6","11.4/200.0/25","21.6/210.0/25",84,"55/17",995.7,10,150.7,"201306"
"1641","澎湖",28,"33.4/21","24.4/12","86.5","7.7/180.0/23","15.0/180.0/24",83,"63/17",1005.9,5,200.1,"201306"
"1642","彭佳嶼",26.3,"31.9/24","21.0/5","217.8","15.7/170.0/21","22.3/170.0/21",91,"23955",995.4,11,172.9,"201306"
"1643","蘇澳",27.7,"33.4/23","22.6/6","140.8","8.0/160.0/18","15.3/170.0/21",80,"57/30",1003.7,11,162.2,"201306"
"1644","日月潭",22.9,"30.3/28","18.8/24","137","9.3/280.0/24","18.4/270.0/24",87,"59/28",898.6,17,113.6,"201306"
"1645","臺中",28.8,"34.6/21","24.2/4","72.6","5.3/220.0/24","13.8/230.0/24",72,"48/19",997.4,14,153.4,"201306"
"1646","臺南",29.5,"35.2/22","24.1/24","233.5","8.6/200.0/23","15.4/210.0/23",75,"18780",1004.4,7,205.1,"201306"
"1647","臺北",29.2,"36.7/27","22.9/4","203.1","8.1/V/4","19.0/280.0/4",69,"17746",1005.3,15,107.9,"201306"
"1648","臺東",29,"34.5/27","24.6/22","417.5","6.3/200.0/24","13.7/210.0/24",77,"50/28",1005.5,12,208.5,"201306"
"1649","淡水",28.5,"35.5/21","23.3/6","61.5","5.8/140.0/14","14.2/120.0/14",76,"19146",1004.4,9,166.3,"201306"
"1650","梧棲",28.4,"33.6/21","24.6/6","70.9","9.7/360.0/13","19.7/250.0/24",77,"54/24",1004.1,12,191.7,"201306"
"1651","宜蘭",27.7,"35.0/19","22.1/6","81","8.0/70.0/3","10.4/60.0/3",83,"50/19",1005.8,12,170.2,"201306"
"1652","玉山",7.1,"18.9/29","2.9/19","137","16.8/150.0/14","23.8/140.0/13",81,"28/28",643.1,18,138.7,"201306"
"1653","竹子湖",24.5,"30.9/29","19.9/6","109.4","6.1/20.0/12","12.4/350.0/2",84,"54/29",939.8,12,135.1,"201306"
"1654","阿里山",14.4,"21.8/12","8.3/11","1182","9.5/310.0/13","29.7/280.0/13",90,"13485",764.8,25,129.4,"201307"
"1655","鞍部",23.3,"30.1/30","18.7/17","305","26.4/360.0/13","45.1/330.0/13",85,"60/30",918.1,5,154.8,"201307"
"1656","板橋",29.2,"36.9/30","23.4/14","255.1","14.0/340.0/13","31.5/350.0/13",69,"39/30",1006.7,12,202.4,"201307"
"1657","成功",27.9,"36.2/13","23.5/18","97.6","17.2/210.0/13","32.8/210.0/13",80,"38/13",1004.4,11,246.1,"201307"
"1658","嘉義",28.4,"36.2/1","22.3/10","336.7","12.3/230.0/13","22.5/240.0/13",76,"17380",1005.5,20,212.9,"201307"
"1659","大武",28.2,"35.9/5","23.0/14","328.1","10.3/190.0/13","26.1/210.0/13",76,"15311",1008.1,16,257.6,"201307"
"1660","東吉島",28.6,"33.4/29","25.0/9","48.2","20.6/210.0/13","24.9/210.0/13",79,"60/31",1003.8,8,271.1,"201307"
"1661","恆春",28.6,"33.5/4","23.5/14","239","10.9/280.0/13","24.8/280.0/13",77,"19998",1006.7,17,231.5,"201307"
"1662","新竹",28.9,"35.2/14","22.1/14","274.4","10.8/360.0/13","29.7/340.0/13",73,"48/17",1005,11,246.1,"201307"
"1663","花蓮",28.3,"36.3/12","23.4/18","42.5","13.9/220.0/13","23.7/230.0/13",75,"14580",1006.5,8,275.2,"201307"
"1664","高雄",29.7,"35.7/1","24.6/14","185.5","9.9/320.0/13","18.4/330.0/12",75,"18994",1008.4,12,248.1,"201307"
"1665","基隆",29.5,"35.3/30","24.7/13","76.1","29.8/10.0/13","50.0/10.0/13",68,"45/17",1004.9,3,259.1,"201307"
"1666","金門",27.9,"33.5/1","23.3/18","355.6","13.2/230.0/13","21.8/230.0/13",87,"21155",1005.2,10,251.5,"201307"
"1667","蘭嶼",25.9,"30.3/4","21.1/19","313.3","29.1/270.0/13","44.8/270.0/13",89,"24077",973,19,204.8,"201307"
"1668","馬祖",27.7,"34.0/31","22.3/13","44.1","16.5/170.0/14","36.0/180.0/14",78,"54/31",996.9,4,299.1,"201307"
"1669","澎湖",29.1,"34.5/30","23.8/13","55.1","10.8/250.0/13","19.4/180.0/13",78,"20090",1007.6,6,277.9,"201307"
"1670","彭佳嶼",27.4,"32.0/24","23.4/17","102.7","35.7/120.0/13","59.4/120.0/13",89,"64/27",997.3,5,306.3,"201307"
"1671","蘇澳",29,"34.0/4","24.7/17","138.6","19.6/270.0/13","37.9/300.0/13",73,"50/17",1005.4,9,276.8,"201307"
"1672","日月潭",22.9,"31.8/23","17.9/11","645.8","16.6/260.0/13","43.8/250.0/13",81,"15189",899.9,21,157.5,"201307"
"1673","臺中",28.1,"35.1/5","22.6/31","467.7","8.6/230.0/13","25.2/230.0/13",74,"15919",998.9,21,193.7,"201307"
"1674","臺南",29.4,"35.7/1","22.5/9","148.9","10.0/330.0/13","20.2/330.0/13",73,"49/19",1005.9,9,216.5,"201307"
"1675","臺北",29.5,"37.9/30","24.2/13","240.5","14.7/80.0/13","33.8/50.0/13",68,"46/30",1007,11,156.7,"201307"
"1676","臺東",29.1,"36.8/13","23.7/18","172.4","6.8/210.0/13","20.5/180.0/13",75,"36/13",1008,10,275,"201307"
"1677","淡水",29.1,"35.2/17","23.8/7","133.5","13.2/360.0/13","32.3/90.0/13",71,"47/17",1006.1,5,237.5,"201307"
"1678","梧棲",28.7,"33.7/2","20.6/13","567.5","22.9/260.0/13","31.9/310.0/13",74,"51/31",1005.6,11,255.8,"201307"
"1679","新屋",28.8,"33.1/14","22.5/13","114.3","22.7/20.0/13","38.5/10.0/13",77,"51/18",1005.8,4,266.6,"201307"
"1680","宜蘭",28.6,"35.4/7","24.0/19","200.2","22.3/300.0/13","37.1/300.0/13",76,"17715",1007.6,7,253.6,"201307"
"1681","玉山",7.2,"18.2/28","1.1/13","631.4","27.1/140.0/17","39.4/250.0/13",78,"30/16",643.9,19,169.8,"201307"
"1682","竹子湖",24.7,"33.0/30","19.6/7","168.8","9.6/300.0/13","35.9/310.0/13",82,"51/30",941.5,6,168.7,"201307"
"1683","阿里山",14.8,"21.0/12","9.9/29","1386.7","6.1/310.0/21","17.5/260.0/21",92,"20363",763.7,24,85,"201308"
"1684","鞍部",24.1,"31.2/4","19.7/18","985.5","15.6/360.0/21","26.8/360.0/21",83,"19725",915.9,11,145.1,"201308"
"1685","板橋",29.1,"37.2/9","23.5/25","720.4","7.4/240.0/29","14.9/280.0/21",70,"16193",1004.3,16,182.9,"201308"
"1686","成功",27.7,"33.0/11","23.3/1","103.6","11.7/210.0/22","24.2/200.0/22",82,"52/29",1001.6,15,184.6,"201308"
"1687","嘉義",28,"34.9/6","23.3/30","1367.2","9.3/220.0/22","19.6/230.0/22",82,"20333",1003.2,21,167.3,"201308"
"1688","大武",28,"37.3/21","23.6/1","548.9","6.9/180.0/21","15.8/220.0/29",78,"47/21",1005.4,18,184.1,"201308"
"1689","東吉島",28.2,"33.3/10","23.9/31","363","23.8/210.0/22","33.7/210.0/22",82,"24746",1001.4,12,210.3,"201308"
"1690","恆春",28.2,"34.0/9","23.2/31","597.5","10.6/30.0/1","21.4/40.0/1",80,"57/26",1004.3,21,173.9,"201308"
"1691","新竹",28.9,"36.2/28","23.7/25","559.8","5.7/270.0/21","14.8/270.0/21",75,"17015",1002.6,11,208.8,"201308"
"1692","花蓮",28.3,"33.6/10","23.6/16","72.1","11.8/180.0/22","17.8/190.0/22",76,"18233",1004,15,220.6,"201308"
"1693","高雄",29,"34.3/13","23.2/29","765.7","10.3/320.0/29","19.5/320.0/31",81,"55/13",1006.1,17,185,"201308"
"1694","基隆",29.3,"35.9/5","23.6/31","487.9","11.8/10.0/31","19.8/240.0/29",72,"16558",1002.5,11,215.4,"201308"
"1695","金門",27.7,"35.0/25","23.2/31","181.9","15.4/270.0/29","21.6/280.0/29",87,"58/28",1002.8,12,188.8,"201308"
"1696","蘭嶼",25.7,"30.7/3","21.8/1","495.5","25.0/260.0/29","38.1/270.0/21",88,"58/19",970.2,21,145.7,"201308"
"1697","馬祖",27.8,"34.3/10","22.0/31","145.4","16.6/70.0/22","36.6/20.0/21",80,"19633",995.1,7,226.6,"201308"
"1698","澎湖",28.7,"34.3/11","23.8/31","303.7","9.0/250.0/30","16.5/350.0/21",85,"63/17",1005.2,12,213.9,"201308"
"1699","彭佳嶼",28,"32.7/8","23.9/31","234.6","38.7/170.0/21","57.0/160.0/21",88,"65/18",994.6,9,253.3,"201308"
"1700","蘇澳",28.9,"34.1/6","24.9/31","250.3","11.7/170.0/22","20.0/220.0/22",77,"18780",1003,12,220.5,"201308"
"1701","日月潭",22.9,"31.1/9","17.9/29","822.5","8.1/220.0/22","20.9/210.0/22",82,"14611",897.8,16,103.5,"201308"
"1702","臺中",28.2,"34.7/9","22.2/30","763","6.6/180.0/22","13.7/330.0/21",77,"48/13",996.6,14,151.5,"201308"
"1703","臺南",28.9,"34.6/11","23.4/29","806.5","10.7/320.0/29","22.5/220.0/31",79,"18172",1003.6,15,175.7,"201308"
"1704","臺北",29.6,"39.3/8","24.5/31","808.7","8.4/120.0/1","16.7/110.0/1",68,"16650",1004.6,13,159.6,"201308"
"1705","臺東",28.7,"33.4/19","24.6/1","171.1","7.6/200.0/22","17.6/200.0/29",77,"56/19",1005.2,16,209.2,"201308"
"1706","淡水",29.1,"38.1/13","24.3/31","702","7.1/300.0/21","16.4/130.0/1",75,"14977",1003.6,11,209.1,"201308"
"1707","梧棲",28.5,"33.0/13","22.9/30","653.1","15.3/340.0/21","24.6/330.0/21",78,"20333",1003.1,12,194.2,"201308"
"1708","新屋",28.8,"34.6/28","23.9/29","510.6","14.8/250.0/21","23.8/200.0/21",81,"52/28",1003.1,12,228.6,"201308"
"1709","宜蘭",28.5,"35.6/5","24.2/31","318.3","8.4/100.0/12","14.7/150.0/1",80,"17899",1005,11,200.9,"201308"
"1710","玉山",7.7,"20.3/8","3.1/1","722.3","25.1/130.0/1","30.8/140.0/1",85,"13667",642.7,20,138,"201308"
"1711","竹子湖",24.8,"32.9/9","21.0/30","854.5","6.7/20.0/23","16.2/320.0/21",83,"20090",939.2,12,160.5,"201308"
"1712","阿里山",14.1,"20.9/19","5.7/17","295.4","6.5/110.0/21","22.2/90.0/21",90,"39/19",764.5,17,112.6,"201309"
"1713","鞍部",21.2,"29.6/13","15.5/2","588","12.4/360.0/1","29.1/150.0/21",90,"23408",919,15,109.8,"201309"
"1714","板橋",27.8,"35.7/11","20.0/3","158.8","8.1/70.0/21","17.6/70.0/21",67,"40/24",1008.1,11,200.9,"201309"
"1715","成功",27,"32.7/11","21.6/3","451.6","14.4/10.0/20","26.6/360.0/21",77,"50/17",1004.6,15,172.5,"201309"
"1716","嘉義",27.5,"34.4/19","20.6/2","134.9","6.1/240.0/12","11.3/10.0/1",80,"17319",1004.9,9,186.3,"201309"
"1717","大武",27.7,"32.7/15","22.1/26","383.1","12.7/360.0/21","29.4/10.0/21",74,"43/17",1007.8,14,200.2,"201309"
"1718","東吉島",27.4,"31.4/12","24.3/1","23.6","22.0/140.0/22","30.1/360.0/21",79,"21276",1003.3,2,240,"201309"
"1719","恆春",28,"33.0/19","23.3/3","450.5","19.1/40.0/21","45.5/20.0/21",73,"51/17",1005.9,14,210.5,"201309"
"1720","新竹",27.7,"35.0/9","20.6/2","23.3","8.2/60.0/21","22.8/60.0/21",71,"16316",1005.5,7,223,"201309"
"1721","花蓮",26.8,"31.9/11","22.1/5","489.6","12.3/20.0/21","23.0/20.0/21",74,"44/17",1007.8,15,179.7,"201309"
"1722","高雄",28.6,"32.6/16","22.8/2","93.5","9.3/150.0/22","20.3/160.0/22",77,"20880",1007.5,7,219.9,"201309"
"1723","基隆",27.1,"33.2/13","21.1/3","287.3","10.9/10.0/1","21.6/50.0/21",78,"19391",1006.8,13,168.1,"201309"
"1724","金門",26.9,"33.0/20","22.5/2","27.9","11.6/30.0/21","26.3/30.0/21",72,"47/20",1006.6,6,185.7,"201309"
"1725","蘭嶼",24.9,"29.3/11","21.2/3","431.6","39.9/40.0/20","65.3/40.0/20",88,"70/17",971.5,24,112.5,"201309"
"1726","馬祖",26.3,"31.5/13","22.6/27","23","11.1/70.0/22","23.9/60.0/21",76,"19054",1000.5,8,199.8,"201309"
"1727","澎湖",27.9,"32.6/14","24.1/1","9.4","12.1/140.0/22","27.1/20.0/21",79,"20546",1007.4,3,222.3,"201309"
"1728","彭佳嶼",26.3,"30.7/11","22.3/18","106.2","18.9/130.0/22","27.9/120.0/22",84,"21641",998.9,11,245.8,"201309"
"1729","蘇澳",27,"31.3/13","22.2/3","271.1","12.8/100.0/21","22.8/110.0/21",79,"19054",1007.3,17,176.5,"201309"
"1730","日月潭",22.6,"33.0/20","17.7/2","111","10.8/120.0/21","20.9/160.0/21",82,"44/20",899.2,8,131.2,"201309"
"1731","臺中",27.8,"34.0/20","20.6/2","44.9","4.9/10.0/15","10.3/320.0/15",73,"14671",998.4,6,169,"201309"
"1732","臺南",28.6,"33.8/9","23.4/2","60.2","9.0/170.0/22","18.0/170.0/22",74,"14671",1005.3,6,190.8,"201309"
"1733","臺北",27.9,"35.8/14","21.2/2","143.1","9.2/90.0/21","20.9/80.0/21",67,"48/24",1008.6,10,194.1,"201309"
"1734","臺東",27.8,"33.7/18","23.4/17","292","8.8/40.0/21","24.5/10.0/21",75,"47/17",1008.1,14,198.4,"201309"
"1735","淡水",27.4,"35.5/13","19.4/2","152.5","7.5/140.0/23","18.7/130.0/21",72,"45/25",1007.4,11,196,"201309"
"1736","梧棲",27.3,"32.8/18","21.8/1","22.1","13.2/360.0/20","25.1/360.0/20",75,"54/18",1005.1,4,216.4,"201309"
"1737","新屋",27.2,"32.8/11","21.2/2","34.5","14.2/70.0/21","25.4/50.0/21",77,"52/24",1006.4,9,218.5,"201309"
"1738","宜蘭",26.6,"32.6/15","20.7/3","335.5","10.5/110.0/21","20.1/120.0/21",81,"17227",1009.1,14,160.7,"201309"
"1739","玉山",7.9,"21.3/30","-0.15","329","21.5/130.0/18","41.1/120.0/21",75,"13/17",643.1,10,166.5,"201309"
"1740","竹子湖",22.9,"30.7/13","17.3/2","495.3","6.2/20.0/24","22.2/120.0/21",84,"20852",942.3,15,171.7,"201309"
"1741","阿里山",11.6,"20.7/10","-0.003703704","16.1","4.5/70.0/6","12.4/20.0/6",83,"42817",765.1,3,164.9,"201310"
"1742","鞍部",17.2,"24.5/8","11.5/26","495","17.8/360.0/6","29.6/350.0/6",92,"73/29",921.9,26,41.3,"201310"
"1743","板橋",24,"31.9/8","17.3/27","76.1","6.8/240.0/6","16.1/290.0/6",68,"44/16",1012.9,11,119.2,"201310"
"1744","成功",25.1,"31.9/7","19.5/28","100.2","9.7/30.0/31","18.2/10.0/6",70,"16132",1007.9,21,151.9,"201310"
"1745","嘉義",24.2,"33.1/7","15.0/27","4.5","8.1/10.0/24","14.0/10.0/6",77,"43/28",1008.9,1,235.8,"201310"
"1746","大武",25.8,"34.3/8","18.3/27","136.8","8.3/360.0/13","18.1/350.0/13",69,"15919",1011.4,10,190.7,"201310"
"1747","東吉島",25,"29.6/8","20.7/26","0","19.1/20.0/5","26.5/10.0/25",72,"18295",1007.2,0,242.8,"201310"
"1748","恆春",26.2,"32.7/9","20.2/24","28","10.5/30.0/31","21.4/30.0/31",68,"16862",1009.5,9,235.7,"201310"
"1749","新竹",24.2,"32.7/7","16.9/28","37.4","7.3/20.0/11","17.8/20.0/31",68,"41/30",1010.2,6,212.2,"201310"
"1750","花蓮",24.6,"33.2/5","17.8/27","175.5","10.3/40.0/3","19.0/50.0/3",72,"41/22",1011,13,156.7,"201310"
"1751","高雄",26.6,"31.5/1","20.6/27","23","8.9/340.0/6","21.6/340.0/6",69,"48/23",1011.3,2,243.3,"201310"
"1752","基隆",24,"30.4/7","18.5/28","98.5","12.0/10.0/24","23.7/300.0/6",74,"52/26",1011,19,69.3,"201310"
"1753","金門",24.1,"33.1/6","17.0/27","3.9","9.9/270.0/7","18.6/60.0/12",62,"32/25",1011.4,1,235.8,"201310"
